,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
3368,14,7,1,3,8,10,4,3,1,2,0,0,1842.8509737071047,1435.437382531211,7,8,156,127,5,3
3369,17,12,7,4,13,9,6,7,2,2,0,0,1939.454104453282,1646.721999594598,9,10,133,151,6,4
3370,12,7,5,3,9,13,12,1,2,4,0,0,1931.845424755122,1633.180656666543,9,11,140,128,-3,1
3371,6,18,1,4,13,15,2,11,3,3,0,0,1442.4189238134627,1946.4196172158079,3,11,123,171,2,17
3372,6,10,2,4,15,11,3,5,3,3,0,0,1332.938471063384,1320.3585464335445,4,11,96,103,-13,-10
3373,19,3,6,1,10,8,7,4,1,0,0,1,1935.8361455559047,1971.4797376892814,12,4,156,161,13,14
3374,15,9,5,3,11,12,14,4,2,0,0,0,1442.3545890585574,1295.1099375047684,3,6,108,98,5,-7
3375,11,9,2,1,9,13,6,6,0,3,0,0,1631.1918166964867,1326.2731828182405,4,7,143,107,-1,-6
3376,19,12,4,4,12,3,5,3,1,0,0,0,1530.2401515328452,1500.001767944172,7,7,92,130,-6,-6
3377,17,15,5,7,13,9,6,5,3,2,0,0,1301.604618895926,1481.3059808101057,3,7,110,109,-11,-2
3378,16,6,4,1,14,9,5,6,2,2,0,0,1486.7686230474874,1617.9294737175796,13,3,110,122,-5,1
3379,12,11,4,5,13,11,2,4,3,4,0,0,1714.0460063965875,1954.9842873513933,8,5,130,142,10,8
3380,12,12,6,4,11,13,5,2,2,2,0,0,1962.493712770625,1381.1543219747693,3,8,149,103,14,-4
3381,14,22,6,4,9,9,4,11,4,4,0,0,1351.6923986010024,1944.822170474561,4,3,94,164,-11,9
3382,20,12,11,4,7,15,14,5,1,3,0,0,1946.4839519707132,1947.0966077040853,4,4,175,128,18,-3
3383,9,12,2,8,11,9,3,5,3,1,0,0,1439.0563472312435,1835.869432424853,9,8,124,148,-5,6
3384,13,11,5,5,8,9,3,7,4,2,0,0,1491.7239412570486,1964.3787075978105,6,5,126,178,-6,19
3385,12,14,2,3,10,15,0,7,2,0,0,0,1481.89025498714,1538.5179782199684,7,7,119,104,1,-7
3386,14,11,4,3,9,14,5,8,1,3,0,0,1297.9131000060677,1485.9524177084938,7,7,101,110,-5,-7
3387,16,12,6,5,10,8,7,4,3,1,0,0,1322.2850041354218,1301.0203447188917,7,7,107,117,-4,-16
3388,11,14,5,7,8,10,10,1,0,0,0,0,1618.7456790565732,1438.8001293713676,7,5,117,117,5,-7
3389,26,5,12,2,12,8,9,3,1,3,0,0,1934.8944463801038,1439.551426557258,6,7,169,117,8,4
3390,9,8,4,2,5,13,9,5,0,0,0,0,1386.0735974267723,1713.5739696343437,6,6,105,135,-6,7
3391,9,10,4,4,14,10,5,9,1,0,0,0,1929.201852076988,1957.5744373186221,7,7,120,146,-4,11
3392,17,4,8,0,9,4,3,6,1,3,0,0,1836.1256502847289,1635.1799953793054,6,8,143,144,5,0
3393,21,2,7,1,8,21,8,1,0,2,0,0,1955.456324113637,1361.6201226954597,8,8,140,99,9,-11
3394,14,11,3,4,5,5,8,5,1,2,0,0,1634.887852620263,1945.52890391438,3,3,127,120,2,0
3395,15,14,6,2,7,11,9,8,0,3,0,0,1694.2717847948948,1425.9191479214194,6,6,123,122,4,-8
3396,7,24,2,5,13,8,5,8,3,0,0,0,1477.0015969429603,1958.1488949706943,6,4,113,148,-7,12
3397,18,14,6,3,6,11,7,1,0,1,0,0,1489.940611174089,1306.8639207716012,7,7,119,105,2,-5
3398,17,9,5,4,12,16,9,3,3,3,0,0,1939.115110405817,1631.6266605065214,7,7,178,119,11,10
3399,14,14,3,4,19,11,6,3,3,0,0,0,1358.9275518384025,1633.7143993618656,5,3,90,126,-13,-4
3400,10,10,4,6,13,7,7,6,1,2,0,0,1530.4676220330193,1946.7023571727773,7,3,113,114,-3,0
3401,13,3,4,3,13,6,8,4,4,0,0,0,1304.388431307239,1405.3757822662212,7,7,123,111,-10,-3
3402,12,9,4,0,13,14,3,7,3,5,0,0,1435.330762531545,1318.9169175470745,8,8,107,108,-2,-6
3403,14,8,7,2,14,15,8,3,1,2,0,0,1944.5580767101073,1941.2473854812301,9,7,182,134,20,7
3404,10,26,3,11,5,10,4,6,2,0,0,0,1511.5445721447518,1836.4177930437713,9,7,126,143,-5,7
3405,24,9,9,3,7,12,8,3,2,4,0,1,1958.7206885158187,1419.1570108695257,3,3,156,127,11,-9
3406,36,6,13,2,15,10,17,3,4,2,0,0,1947.9954775431083,1294.6759755930375,3,3,117,126,5,-10
3407,21,5,10,2,8,11,7,1,1,2,0,0,1943.5655265257485,1476.429803397836,3,4,181,107,10,-9
3408,17,11,6,1,7,10,7,3,2,1,0,0,1636.143597467136,1931.7517154916734,4,3,120,122,-4,6
3409,12,26,5,12,11,8,4,4,3,1,0,0,1627.1762443865898,1954.053746699664,5,4,115,175,7,17
3410,17,22,9,7,10,15,4,6,2,4,1,0,1948.2866205728265,1701.0339218467884,5,9,142,130,9,6
3411,9,14,1,4,11,14,2,5,2,2,0,0,1298.9079846433795,1508.3581754442523,8,7,113,125,-5,-8
3412,28,7,8,3,8,15,11,1,1,1,0,0,1959.3442566008773,1294.3848325633194,6,5,171,121,11,-10
3413,10,19,4,14,14,5,2,3,0,0,0,0,1308.4997363014688,1961.8151355539494,7,3,107,181,-8,21
3414,21,10,5,4,11,10,9,1,4,1,0,0,1619.4148555323045,1497.8965473023109,3,8,110,134,0,3
3415,25,9,10,3,13,8,3,3,0,1,0,0,1839.6041897442708,1356.498353733132,7,8,151,96,9,-12
3416,9,6,2,1,16,10,3,6,2,0,0,0,1927.1341417037618,1445.7479437771506,4,7,119,109,4,0
3417,14,14,6,3,12,10,4,10,2,4,0,0,1640.7611712550477,1529.1745016626883,4,8,129,110,-3,-8
3418,12,16,2,5,8,10,7,4,1,1,0,0,1415.0882379804227,1475.3283887497978,8,5,91,101,-2,-9
3419,6,15,3,9,12,10,4,5,1,0,0,0,1418.533442784467,1944.6669411737867,6,5,120,190,-9,12
3420,27,6,10,3,9,12,9,4,0,1,0,0,1950.8387579892146,1611.5296101923982,82,82,151,120,11,-1
3421,6,14,2,4,6,9,3,10,0,2,0,0,1500.0,1954.5419611661234,7,83,121,192,0,17
3422,19,10,6,5,16,11,8,5,3,3,2,0,1959.4749380797657,1289.5544195483126,83,83,179,111,14,-5
3423,14,8,4,6,7,19,12,9,1,3,0,0,1445.397453060314,1500.0,83,7,108,121,-3,0
3424,9,9,4,1,13,10,6,7,1,1,0,0,1698.4817844304002,1547.54873282911,83,83,136,119,1,-7
3425,29,4,2,0,10,13,13,0,2,1,0,0,1622.386940088626,1418.6080253936364,83,83,129,92,-4,0
3426,9,14,4,5,14,8,3,3,0,3,0,0,1408.6584227921303,1839.8635854919612,83,83,120,166,-13,11
3427,16,9,6,2,15,3,8,2,3,1,0,0,1471.8086013365842,1505.7817926422172,83,83,112,123,-7,2
3428,22,9,6,1,19,7,11,1,2,2,0,0,1927.4846324205982,1517.7117405393192,84,84,110,124,6,-6
3429,6,18,3,6,6,10,5,7,1,2,1,0,1433.9234314332277,1964.610252756212,455,84,109,188,4,26
3430,6,19,2,7,6,14,8,5,1,3,0,0,1504.2602533272338,1407.9640754162986,7,7,120,106,-1,-14
3431,20,8,0,1,11,11,5,5,1,0,0,1,1324.4812810201918,1473.3301406515675,7,7,104,116,-4,-8
